Amp training started. 2016-02-26T18:37:25

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 16 cores.

Training on 1021 images.
Hashing images...
 1021 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 7]
 Cu: [2, 7]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1021 of 1021 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-XIfIFb.db.
  Processor 1 calculations stored in file /tmp/fp-YZfsRQ.db.
  Processor 2 calculations stored in file /tmp/fp-aXBdZY.db.
  Processor 3 calculations stored in file /tmp/fp-mtmvV0.db.
  Processor 4 calculations stored in file /tmp/fp-7EElDw.db.
  Processor 5 calculations stored in file /tmp/fp-wIGv9O.db.
  Processor 6 calculations stored in file /tmp/fp-o8X4Xf.db.
  Processor 7 calculations stored in file /tmp/fp-3n5a_r.db.
  Processor 8 calculations stored in file /tmp/fp-0Ik0gQ.db.
  Processor 9 calculations stored in file /tmp/fp-Pzn2e9.db.
  Processor 10 calculations stored in file /tmp/fp-aoJej4.db.
  Processor 11 calculations stored in file /tmp/fp-kAIOPx.db.
  Processor 12 calculations stored in file /tmp/fp-EP6tnM.db.
  Processor 13 calculations stored in file /tmp/fp-O5L8HC.db.
  Processor 14 calculations stored in file /tmp/fp-M6RyKQ.db.
  Processor 15 calculations stored in file /tmp/fp-lJQqdQ.db.
 Calculated 1021 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ./fingerprints.db. 0.4 min.
 ...all fingerprint operations complete. 0.9 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
  150 51.84 41.73 -0.80 -0.72 0.92 0.41 True(78)
  151 51.74 52.88 -1.02 -0.81 0.81 0.28 True(78)
  152 51.63 24.01 -0.47 -1.02 1.75 0.95 True(78)
  153 51.53 32.15 -0.62 -0.47 0.85 0.88 False(77)
  154 51.43 35.11 -0.68 -0.47 0.81 0.03 True(78)
  155 51.33 64.62 -1.26 -0.68 0.56 0.10 True(78)
  156 51.22 52.68 -1.03 -1.26 1.26 0.46 True(78)
  157 51.12 57.51 -1.12 -1.03 0.91 0.42 True(78)
  158 51.02 74.02 -1.45 -1.13 0.72 0.49 True(78)
  159 50.92 31.02 -0.61 -1.45 2.33 0.12 True(78)
  160 50.81 30.49 -0.60 -0.61 1.01 0.43 True(78)
  161 50.71 58.72 -1.16 -0.60 0.57 0.39 True(79)
  162 50.61 30.94 -0.61 -1.16 1.73 0.21 True(79)
  163 50.51 40.54 -0.80 -0.61 0.83 0.24 True(79)
  164 50.41 63.87 -1.27 -0.80 0.63 0.04 True(79)
  165 50.31 65.92 -1.31 -1.27 0.96 0.80 True(79)
  166 50.21 47.02 -0.94 -1.31 1.46 0.00 True(79)
  167 50.11 77.87 -1.55 -0.94 0.54 0.74 False(79)
  168 50.01 40.15 -0.80 -0.94 1.15 0.46 True(79)
  169 49.91 45.42 -0.91 -0.80 0.90 0.48 True(79)
  170 49.81 49.44 -0.99 -0.91 0.92 0.53 True(79)
  171 49.71 128.84 -2.59 -0.99 0.20 0.10 True(79)
  172 49.61 136.76 -2.76 -2.60 0.85 0.60 True(79)
  173 49.51 166.42 -3.36 -2.76 0.55 0.08 True(79)
  174 49.41 138.09 -2.79 -3.37 1.77 0.86 True(80)
  175 49.31 195.73 -3.97 -2.80 0.31 0.44 False(79)
  176 49.21 120.64 -2.45 -2.81 1.43 0.76 True(79)
  177 49.11 118.32 -2.41 -2.46 1.05 0.61 True(79)
  178 49.02 175.49 -3.58 -2.41 0.31 0.05 True(79)
  179 48.92 101.63 -2.08 -3.59 4.53 0.04 True(80)
  180 48.82 43.91 -0.90 -2.08 3.26 0.77 True(80)
  181 48.72 51.08 -1.05 -0.90 0.86 0.76 True(80)
  182 48.62 32.06 -0.66 -1.05 1.48 0.28 True(80)
  183 48.53 21.46 -0.44 -0.66 1.24 0.58 True(80)
  184 48.43 11.73 -0.24 -0.44 1.22 0.05 True(80)
  185 48.33 10.28 -0.21 -0.24 1.03 0.28 True(80)
  186 48.24 37.71 -0.78 -0.21 0.57 0.95 False(80)
  187 48.14 15.77 -0.33 -0.21 0.89 0.74 True(80)
  188 48.04 31.28 -0.65 -0.33 0.72 0.62 True(80)
  189 47.95 24.29 -0.51 -0.65 1.16 1.00 True(80)
  190 47.85 25.72 -0.54 -0.51 0.97 0.58 True(80)
  191 47.76 23.05 -0.48 -0.54 1.06 0.10 True(80)
  192 47.66 23.61 -0.50 -0.48 0.99 0.18 True(80)
  193 47.57 144.90 -3.05 -0.50 0.08 0.72 False(80)
  194 47.47 17.43 -0.37 -0.50 1.14 0.55 True(80)
  195 47.38 60.75 -1.28 -0.37 0.40 0.92 False(80)
  196 47.28 32.28 -0.68 -0.37 0.73 0.11 True(80)
  197 47.19 20.62 -0.44 -0.68 1.28 0.48 True(80)
  198 47.09 23.64 -0.50 -0.44 0.94 0.04 True(80)
  199 47.00 86.49 -1.84 -0.50 0.26 0.94 False(80)
  200 46.90 26.34 -0.56 -0.50 0.94 0.16 True(80)
  201 46.81 47.21 -1.01 -0.56 0.64 0.18 True(80)
  202 46.72 30.23 -0.65 -1.01 1.44 0.29 True(80)
  203 46.62 18.81 -0.40 -0.65 1.28 0.40 True(80)
  204 46.53 100.55 -2.16 -0.40 0.17 0.15 True(80)
  205 46.44 105.12 -2.26 -2.17 0.91 0.74 True(80)
  206 46.34 73.15 -1.58 -2.27 1.99 0.50 True(80)
  207 46.25 52.18 -1.13 -1.58 1.57 0.32 True(80)
  208 46.16 34.06 -0.74 -1.13 1.48 0.16 True(80)
  209 46.07 34.22 -0.74 -0.74 1.00 0.76 True(80)
  210 45.97 120.93 -2.63 -0.74 0.15 0.61 False(80)
  211 45.88 34.75 -0.76 -0.75 0.99 0.69 True(80)
  212 45.79 88.47 -1.93 -0.76 0.31 0.04 True(80)
  213 45.70 72.75 -1.59 -1.94 1.41 0.96 True(80)
  214 45.61 87.73 -1.92 -1.60 0.72 0.38 True(80)
  215 45.52 27.25 -0.60 -1.93 3.78 0.37 True(81)
  216 45.43 84.23 -1.85 -0.60 0.29 0.92 False(80)
  217 45.33 28.79 -0.64 -0.60 0.97 0.23 True(80)
  218 45.24 57.72 -1.28 -0.64 0.53 0.69 False(80)
  219 45.15 29.23 -0.65 -0.64 0.99 0.86 True(80)
  220 45.06 23.66 -0.53 -0.65 1.13 0.42 True(80)
  221 44.97 45.28 -1.01 -0.53 0.62 0.24 True(80)
  222 44.88 66.43 -1.48 -1.01 0.62 0.43 True(80)
  223 44.79 104.67 -2.34 -1.48 0.43 0.32 True(80)
  224 44.70 144.06 -3.22 -2.34 0.41 0.71 False(80)
  225 44.61 74.20 -1.66 -2.35 1.98 0.22 True(80)
  226 44.52 70.79 -1.59 -1.67 1.08 0.69 True(80)
  227 44.44 62.52 -1.41 -1.59 1.20 0.14 True(80)
  228 44.35 82.97 -1.87 -1.41 0.63 0.84 False(80)
  229 44.26 89.19 -2.02 -1.41 0.55 0.11 True(80)
  230 44.17 74.79 -1.69 -2.02 1.39 0.31 True(80)
  231 44.08 91.43 -2.07 -1.70 0.69 0.94 False(80)
  232 43.99 182.11 -4.14 -1.70 0.09 0.75 False(79)
  233 43.91 60.85 -1.39 -1.70 1.37 0.66 True(79)
  234 43.82 52.42 -1.20 -1.39 1.21 0.21 True(80)
  235 43.73 62.87 -1.44 -1.20 0.79 0.29 True(80)
  236 43.64 84.07 -1.93 -1.44 0.62 0.40 True(80)
  237 43.55 98.20 -2.25 -1.93 0.72 0.64 True(80)
  238 43.47 75.60 -1.74 -2.26 1.68 0.16 True(80)
  239 43.38 79.41 -1.83 -1.74 0.92 0.02 True(80)
  240 43.29 64.22 -1.48 -1.83 1.42 0.32 True(80)
  241 43.21 56.99 -1.32 -1.49 1.18 0.24 True(80)
  242 43.12 58.63 -1.36 -1.32 0.96 0.31 True(80)
  243 43.03 35.24 -0.82 -1.36 1.72 0.86 True(80)
  244 42.95 61.86 -1.44 -0.82 0.54 0.37 True(80)
  245 42.86 84.04 -1.96 -1.44 0.60 0.41 True(80)
  246 42.78 155.61 -3.64 -1.96 0.19 0.57 False(80)
  247 42.69 102.74 -2.41 -1.97 0.65 0.97 False(80)
  248 42.61 160.07 -3.76 -1.97 0.17 0.48 False(79)
  249 42.52 182.98 -4.30 -1.98 0.10 0.55 False(79)
  250 42.44 97.80 -2.30 -1.98 0.72 0.09 True(79)
  251 42.35 86.94 -2.05 -2.31 1.29 0.07 True(79)
  252 42.27 106.29 -2.51 -2.06 0.63 0.79 False(79)
  253 42.18 96.84 -2.30 -2.06 0.79 0.44 True(79)
  254 42.10 90.85 -2.16 -2.30 1.15 0.25 True(79)
  255 42.01 123.79 -2.95 -2.16 0.46 0.26 True(79)
  256 41.93 331.36 -7.90 -2.95 0.01 0.52 False(79)
  257 41.85 44.68 -1.07 -2.96 6.62 0.07 True(79)
  258 41.76 118.14 -2.83 -1.07 0.17 0.30 False(79)
  259 41.68 38.05 -0.91 -1.07 1.17 0.17 True(79)
  260 41.59 39.28 -0.94 -0.91 0.97 0.67 True(79)
  261 41.51 30.92 -0.74 -0.95 1.22 0.91 True(79)
  262 41.43 36.09 -0.87 -0.75 0.88 0.43 True(79)
  263 41.35 58.06 -1.40 -0.87 0.59 0.33 True(79)
  264 41.26 46.98 -1.14 -1.41 1.31 0.53 True(79)
  265 41.18 78.87 -1.92 -1.14 0.46 0.99 False(79)
  266 41.10 79.15 -1.93 -1.14 0.46 0.69 False(79)
  267 41.02 52.71 -1.28 -1.15 0.87 0.19 True(79)
  268 40.93 76.35 -1.87 -1.29 0.56 0.30 True(79)
  269 40.85 72.48 -1.77 -1.87 1.10 0.55 True(79)
  270 40.77 67.33 -1.65 -1.78 1.13 0.61 True(79)
  271 40.69 56.62 -1.39 -1.65 1.30 0.48 True(79)
  272 40.61 34.35 -0.85 -1.39 1.73 0.42 True(79)
  273 40.53 58.54 -1.44 -0.85 0.55 0.70 False(79)
  274 40.45 37.96 -0.94 -0.85 0.91 0.88 True(79)
  275 40.36 85.35 -2.11 -0.94 0.31 0.42 False(78)
  276 40.28 105.40 -2.62 -0.94 0.19 0.02 True(79)
  277 40.20 194.93 -4.85 -2.62 0.11 0.12 False(78)
  278 40.12 146.60 -3.65 -2.63 0.36 0.58 False(78)
  279 40.04 88.89 -2.22 -2.63 1.51 0.84 True(78)
  280 39.96 43.90 -1.10 -2.22 3.08 0.28 True(78)
  281 39.88 28.72 -0.72 -1.10 1.46 0.66 True(78)
  282 39.80 26.10 -0.66 -0.72 1.07 0.61 True(78)
  283 39.72 28.68 -0.72 -0.66 0.94 0.49 True(78)
  284 39.64 25.20 -0.64 -0.72 1.09 0.52 True(78)
  285 39.56 52.68 -1.33 -0.64 0.50 0.68 False(78)
  286 39.49 59.38 -1.50 -0.64 0.42 0.34 True(78)
  287 39.41 142.25 -3.61 -1.51 0.12 0.38 False(78)
  288 39.33 86.33 -2.20 -1.51 0.50 0.61 False(78)
  289 39.25 99.52 -2.54 -1.51 0.36 0.86 False(77)
  290 39.17 58.55 -1.49 -1.52 1.02 0.00 True(78)
  291 39.09 46.65 -1.19 -1.50 1.36 0.34 True(78)
  292 39.01 59.33 -1.52 -1.20 0.72 0.95 False(77)
  293 38.94 46.14 -1.19 -1.20 1.01 0.70 True(77)
  294 38.86 97.83 -2.52 -1.19 0.26 0.89 False(77)
  295 38.78 72.14 -1.86 -1.19 0.51 0.20 True(77)
  296 38.70 79.41 -2.05 -1.86 0.83 0.53 True(77)
  297 38.63 70.46 -1.82 -2.06 1.26 0.55 True(77)
  298 38.55 184.36 -4.78 -1.83 0.05 0.69 False(77)
  299 38.47 141.73 -3.68 -1.83 0.16 0.65 False(77)
  300 38.39 93.87 -2.44 -1.84 0.54 1.00 False(77)
  301 38.32 25.82 -0.67 -1.84 3.21 0.79 True(77)
  302 38.24 35.99 -0.94 -0.68 0.77 0.57 True(77)
  303 38.16 37.56 -0.98 -0.94 0.96 0.22 True(77)
  304 38.09 88.83 -2.33 -0.99 0.26 0.52 False(77)
  305 38.01 129.50 -3.41 -0.99 0.09 0.28 False(76)
  306 37.94 42.06 -1.11 -0.99 0.89 0.18 True(76)
  307 37.86 27.85 -0.74 -1.11 1.46 0.60 True(76)
  308 37.78 45.11 -1.19 -0.74 0.63 0.74 False(76)
  309 37.71 43.96 -1.17 -0.74 0.65 0.07 True(76)
  310 37.63 47.59 -1.26 -1.17 0.91 0.00 True(76)
  311 37.56 85.59 -2.28 -1.27 0.36 0.62 False(76)
  312 37.48 94.11 -2.51 -1.27 0.29 0.16 True(76)
  313 37.41 46.25 -1.24 -2.52 3.60 0.01 True(76)
  314 37.33 19.83 -0.53 -1.24 2.03 0.48 True(76)
  315 37.26 17.13 -0.46 -0.53 1.08 0.91 True(76)
  316 37.18 14.27 -0.38 -0.46 1.08 0.13 True(76)
  317 37.11 53.94 -1.45 -0.38 0.34 0.21 True(77)
  318 37.03 106.80 -2.88 -1.46 0.24 0.56 False(76)
  319 36.96 35.70 -0.97 -1.46 1.64 0.56 True(76)
  320 36.89 44.22 -1.20 -0.97 0.79 0.56 True(76)
  321 36.81 17.68 -0.48 -1.20 2.06 0.20 True(77)
  322 36.74 26.41 -0.72 -0.48 0.79 0.82 False(76)
  323 36.67 23.31 -0.64 -0.48 0.86 0.86 False(76)
  324 36.59 25.59 -0.70 -0.48 0.81 0.23 True(76)
  325 36.52 80.19 -2.20 -0.70 0.22 0.25 False(76)
  326 36.45 13.69 -0.38 -0.70 1.39 0.46 True(76)
