Amp training started. 2016-02-26T18:37:29

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 16 cores.

Training on 1021 images.
Hashing images...
 1021 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 8]
 Cu: [2, 8]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1021 of 1021 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-NlUCIX.db.
  Processor 1 calculations stored in file /tmp/fp-bLUWLf.db.
  Processor 2 calculations stored in file /tmp/fp-7QWnCG.db.
  Processor 3 calculations stored in file /tmp/fp-w4tZtG.db.
  Processor 4 calculations stored in file /tmp/fp-n5K1_O.db.
  Processor 5 calculations stored in file /tmp/fp-uKPt73.db.
  Processor 6 calculations stored in file /tmp/fp-4MD7oT.db.
  Processor 7 calculations stored in file /tmp/fp-Bfte5d.db.
  Processor 8 calculations stored in file /tmp/fp-ks9Xsf.db.
  Processor 9 calculations stored in file /tmp/fp-dHBEFD.db.
  Processor 10 calculations stored in file /tmp/fp-9KsbPw.db.
  Processor 11 calculations stored in file /tmp/fp-q2xK_3.db.
  Processor 12 calculations stored in file /tmp/fp-Y6PbXH.db.
  Processor 13 calculations stored in file /tmp/fp-tfdTuB.db.
  Processor 14 calculations stored in file /tmp/fp-qWejE_.db.
  Processor 15 calculations stored in file /tmp/fp-Gi5ZXL.db.
 Calculated 1021 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ./fingerprints.db. 0.4 min.
 ...all fingerprint operations complete. 0.9 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
   96 57.76 168.56 -2.92 -3.07 1.17 0.63 True(67)
   97 57.64 310.24 -5.38 -2.92 0.09 0.48 False(66)
   98 57.53 223.54 -3.89 -2.93 0.38 0.17 True(66)
   99 57.41 182.69 -3.18 -3.89 2.04 0.29 True(67)
  100 57.30 219.17 -3.83 -3.19 0.53 0.75 False(66)
  101 57.19 229.06 -4.01 -3.19 0.44 0.69 False(65)
  102 57.07 186.66 -3.27 -3.20 0.93 0.41 True(66)
  103 56.96 174.80 -3.07 -3.28 1.23 0.54 True(66)
  104 56.84 231.23 -4.07 -3.08 0.37 0.66 False(65)
  105 56.73 133.43 -2.35 -3.08 2.07 0.53 True(66)
  106 56.62 182.92 -3.23 -2.36 0.42 0.73 False(65)
  107 56.50 109.73 -1.94 -2.36 1.52 0.09 True(65)
  108 56.39 88.05 -1.56 -1.95 1.47 0.22 True(66)
  109 56.28 123.75 -2.20 -1.56 0.53 0.88 False(65)
  110 56.16 81.60 -1.45 -1.57 1.12 0.49 True(65)
  111 56.05 108.30 -1.93 -1.46 0.62 0.12 True(66)
  112 55.94 93.91 -1.68 -1.94 1.29 0.50 True(66)
  113 55.83 161.79 -2.90 -1.68 0.30 0.75 False(65)
  114 55.72 58.07 -1.04 -1.69 1.90 0.35 True(66)
  115 55.60 69.26 -1.25 -1.04 0.82 0.30 True(66)
  116 55.49 110.90 -2.00 -1.25 0.47 0.08 True(66)
  117 55.38 49.63 -0.90 -2.00 3.02 0.51 True(66)
  118 55.27 45.04 -0.81 -0.90 1.09 0.54 True(67)
  119 55.16 93.14 -1.69 -0.82 0.42 0.43 False(66)
  120 55.05 19.25 -0.35 -0.82 1.60 0.96 True(66)
  121 54.94 65.33 -1.19 -0.35 0.43 0.16 True(67)
  122 54.83 45.37 -0.83 -1.19 1.44 0.30 True(67)
  123 54.72 14.65 -0.27 -0.83 1.75 0.01 True(67)
  124 54.61 25.32 -0.46 -0.27 0.82 0.98 False(67)
  125 54.50 50.79 -0.93 -0.27 0.52 0.37 True(67)
  126 54.39 47.76 -0.88 -0.93 1.06 0.50 True(67)
  127 54.28 76.26 -1.40 -0.88 0.59 0.86 False(67)
  128 54.18 39.61 -0.73 -0.88 1.16 0.59 True(67)
  129 54.07 47.19 -0.87 -0.73 0.87 0.20 True(67)
  130 53.96 70.45 -1.31 -0.87 0.65 0.65 True(67)
  131 53.85 74.19 -1.38 -1.31 0.93 0.96 False(67)
  132 53.74 176.56 -3.29 -1.31 0.14 0.37 False(66)
  133 53.64 65.22 -1.22 -1.31 1.10 0.24 True(67)
  134 53.53 213.94 -4.00 -1.22 0.06 0.72 False(66)
  135 53.42 153.23 -2.87 -1.22 0.19 0.28 False(66)
  136 53.32 45.63 -0.86 -1.22 1.44 0.34 True(66)
