step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
  115 71.23 54239207.30 -761437.79 -761834.19 14249776710542563412977280997375429513584382997679628954126969608754888042680770593864925076839569594344191285220463872517260496152722149862429995200488007693293746737119232.00 0.11 True(27)
  116 71.27 61292596.51 -860026.87 -761057.26 0.00 0.31 False(27)
  117 71.30 57772226.54 -810225.70 -760676.93 0.00 0.57 False(27)
  118 71.34 67385394.74 -944573.14 -760296.78 0.00 0.13 False(26)
  119 71.38 58748002.49 -823087.16 -759916.82 0.00 0.67 False(26)
  120 71.41 64057959.93 -897033.65 -759537.05 0.00 0.71 False(26)
  121 71.45 56803721.21 -795051.62 -759157.47 0.00 0.35 False(26)
  122 71.48 56164189.32 -785707.57 -758778.08 0.00 0.52 False(26)
  123 71.52 67725479.13 -946970.47 -758398.88 0.00 0.95 False(25)
  124 71.55 59107751.04 -826060.19 -758019.87 0.00 0.47 False(25)
  125 71.59 54999996.48 -768268.15 -757641.05 0.00 0.25 False(25)
  126 71.63 55341785.00 -772656.10 -757262.42 0.00 0.33 False(25)
  127 71.66 148908806.22 -2077956.07 -756883.98 0.00 0.59 False(25)
  128 71.70 54283985.57 -757130.28 -756505.73 0.00 0.21 False(24)
  129 71.73 56255411.50 -784234.78 -756127.66 0.00 0.53 False(24)
  130 71.77 54567722.59 -760327.20 -755749.79 0.00 0.22 False(24)
  131 71.80 56660196.30 -789088.44 -755372.10 0.00 0.51 False(24)
  132 71.84 54460411.00 -758073.70 -754994.61 0.00 0.53 False(24)
  133 71.88 78614115.58 -1093739.65 -754617.30 0.00 0.54 False(23)
  134 71.91 57277800.75 -796494.28 -754240.18 0.00 0.78 False(23)
  135 71.95 60046165.82 -834573.36 -753863.24 0.00 0.24 False(23)
  136 71.98 56345672.55 -782749.34 -753486.50 0.00 0.42 False(23)
  137 72.02 102164343.99 -1418549.19 -753109.95 0.00 0.24 False(23)
  138 72.06 64848282.70 -899966.69 -752733.58 0.00 0.43 False(23)
  139 72.09 54054989.47 -749802.10 -752357.40 inf 0.86 True(23)
  140 72.13 54728665.10 -758767.33 -749427.38 0.00 0.64 False(23)
  141 72.16 56586603.27 -784134.03 -749052.86 0.00 0.94 False(23)
  142 72.20 72550655.13 -1004849.27 -748678.52 0.00 0.34 False(23)
  143 72.24 56519739.49 -782424.86 -748304.37 0.00 0.63 False(22)
  144 72.27 54434590.20 -753182.74 -747930.40 0.00 0.59 False(22)
  145 72.31 56483442.28 -781141.05 -747556.62 0.00 0.75 False(22)
