step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
  105 71.77 743.26 -10.36 -5.34 0.01 0.79 False(23)
  106 71.81 1435.70 -19.99 -5.34 0.00 0.60 False(23)
  107 71.84 1017.11 -14.16 -5.34 0.00 0.06 False(23)
  108 71.88 801.90 -11.16 -5.34 0.00 0.24 False(22)
  109 71.91 861.58 -11.98 -5.33 0.00 0.44 False(22)
  110 71.95 635.24 -8.83 -5.33 0.03 0.75 False(22)
  111 71.99 1018.64 -14.15 -5.33 0.00 0.44 False(22)
  112 72.02 2922.09 -40.57 -5.32 0.00 0.25 False(22)
  113 72.06 1285.08 -17.83 -5.32 0.00 0.86 False(21)
  114 72.09 1441.95 -20.00 -5.32 0.00 0.01 False(21)
  115 72.13 640.96 -8.89 -5.32 0.03 0.95 False(21)
  116 72.17 3457.80 -47.91 -5.31 0.00 0.45 False(21)
  117 72.20 535.17 -7.41 -5.31 0.12 0.20 False(21)
  118 72.24 1067.26 -14.77 -5.31 0.00 0.12 False(21)
  119 72.27 919.56 -12.72 -5.31 0.00 0.20 False(20)
  120 72.31 494.78 -6.84 -5.30 0.21 0.78 False(20)
  121 72.35 1177.25 -16.27 -5.30 0.00 0.33 False(20)
  122 72.38 886.03 -12.24 -5.30 0.00 0.26 False(20)
  123 72.42 1151.96 -15.91 -5.30 0.00 0.68 False(20)
  124 72.45 1003.19 -13.85 -5.29 0.00 0.96 False(20)
  125 72.49 1106.89 -15.27 -5.29 0.00 0.64 False(19)
  126 72.53 2181.01 -30.07 -5.29 0.00 0.02 False(19)
  127 72.56 1423.14 -19.61 -5.28 0.00 0.51 False(19)
  128 72.60 3390.73 -46.70 -5.28 0.00 0.36 False(19)
  129 72.64 882.02 -12.14 -5.28 0.00 0.95 False(19)
  130 72.67 1031.30 -14.19 -5.28 0.00 0.49 False(19)
  131 72.71 1412.78 -19.43 -5.27 0.00 0.17 False(18)
  132 72.74 734.42 -10.10 -5.27 0.01 0.15 False(18)
  133 72.78 436.09 -5.99 -5.27 0.49 0.48 True(19)
  134 72.82 506.60 -6.96 -5.99 0.38 0.16 True(20)
  135 72.85 1311.41 -18.00 -6.95 0.00 0.59 False(19)
  136 72.89 1965.22 -26.96 -6.95 0.00 0.02 False(19)
  137 72.93 1211.88 -16.62 -6.95 0.00 0.13 False(19)
  138 72.96 376.85 -5.16 -6.94 5.92 0.49 True(20)
  139 73.00 1919.55 -26.30 -5.16 0.00 0.02 False(20)
  140 73.04 394.83 -5.41 -5.16 0.78 0.16 True(20)
  141 73.07 412.55 -5.65 -5.40 0.78 0.34 True(21)
  142 73.11 1818.50 -24.87 -5.64 0.00 0.11 False(20)
  143 73.15 1877.33 -25.67 -5.64 0.00 0.84 False(20)
  144 73.18 576.28 -7.87 -5.64 0.11 0.82 False(20)
  145 73.22 1107.64 -15.13 -5.63 0.00 0.39 False(20)
  146 73.26 804.89 -10.99 -5.63 0.00 0.12 False(20)
  147 73.29 1128.08 -15.39 -5.63 0.00 0.31 False(20)
  148 73.33 567.41 -7.74 -5.63 0.12 0.99 False(20)
  149 73.37 3184.12 -43.40 -5.62 0.00 0.90 False(20)
  150 73.40 459.67 -6.26 -5.62 0.53 0.37 True(20)
  151 73.44 544.91 -7.42 -6.26 0.31 0.20 True(21)
  152 73.48 431.15 -5.87 -7.42 4.70 0.44 True(21)
  153 73.51 1334.40 -18.15 -5.86 0.00 0.82 False(21)
  154 73.55 946.36 -12.87 -5.86 0.00 0.69 False(21)
  155 73.59 2981.11 -40.51 -5.86 0.00 0.59 False(21)
  156 73.62 2613.59 -35.50 -5.86 0.00 0.09 False(21)
  157 73.66 1776.79 -24.12 -5.85 0.00 0.99 False(20)
  158 73.70 2959.83 -40.16 -5.85 0.00 0.44 False(20)
  159 73.73 581.18 -7.88 -5.85 0.13 0.97 False(20)
  160 73.77 902.03 -12.23 -5.84 0.00 0.27 False(20)
  161 73.81 1112.77 -15.08 -5.84 0.00 0.39 False(20)
  162 73.84 925.08 -12.53 -5.84 0.00 0.28 False(20)
  163 73.88 402.01 -5.44 -5.84 1.48 0.43 True(20)
  164 73.92 361.02 -4.88 -5.44 1.74 0.16 True(21)
  165 73.95 528.88 -7.15 -4.88 0.10 0.84 False(21)
  166 73.99 383.81 -5.19 -4.88 0.73 0.35 True(21)
  167 74.03 556.93 -7.52 -5.18 0.10 0.07 True(22)
  168 74.07 1260.71 -17.02 -7.52 0.00 0.67 False(21)
  169 74.10 476.77 -6.43 -7.52 2.95 0.10 True(22)
  170 74.14 648.14 -8.74 -6.43 0.10 0.81 False(22)
  171 74.18 621.15 -8.37 -6.43 0.14 0.35 False(22)
  172 74.21 1869.15 -25.19 -6.42 0.00 0.78 False(21)
  173 74.25 305.82 -4.12 -6.42 10.00 0.09 True(22)
  174 74.29 272.28 -3.67 -4.12 1.57 0.65 True(22)
  175 74.33 627.24 -8.44 -3.66 0.01 0.89 False(22)
  176 74.36 661.36 -8.89 -3.66 0.01 0.12 False(22)
  177 74.40 388.26 -5.22 -3.66 0.21 0.38 False(22)
  178 74.44 1656.45 -22.25 -3.66 0.00 0.79 False(22)
  179 74.47 535.73 -7.19 -3.66 0.03 0.92 False(22)
  180 74.51 461.45 -6.19 -3.65 0.08 0.16 False(22)
  181 74.55 322.89 -4.33 -3.65 0.51 0.03 True(22)
  182 74.59 438.79 -5.88 -4.33 0.21 0.52 False(22)
  183 74.62 422.06 -5.66 -4.33 0.26 0.51 False(22)
  184 74.66 348.51 -4.67 -4.32 0.71 0.70 True(22)
  185 74.70 307.04 -4.11 -4.67 1.74 0.14 True(23)
  186 74.74 321.89 -4.31 -4.11 0.82 0.20 True(23)
  187 74.77 802.13 -10.73 -4.30 0.00 0.74 False(23)
  188 74.81 407.10 -5.44 -4.30 0.32 0.59 False(23)
  189 74.85 771.93 -10.31 -4.30 0.00 0.48 False(23)
  190 74.88 510.83 -6.82 -4.30 0.08 0.80 False(23)
  191 74.92 347.27 -4.64 -4.30 0.71 0.08 True(23)
  192 74.96 476.74 -6.36 -4.63 0.18 0.47 False(23)
  193 75.00 393.13 -5.24 -4.63 0.54 0.11 True(23)
  194 75.03 1232.30 -16.42 -5.24 0.00 0.03 False(23)
  195 75.07 314.24 -4.19 -5.24 2.86 0.08 True(23)
  196 75.11 371.31 -4.94 -4.18 0.47 0.06 True(24)
  197 75.15 2086.72 -27.77 -4.94 0.00 0.21 False(24)
  198 75.18 511.74 -6.81 -4.94 0.15 0.13 True(24)
  199 75.22 639.53 -8.50 -6.80 0.18 0.91 False(24)
  200 75.26 1618.99 -21.51 -6.80 0.00 0.92 False(24)
  201 75.30 2584.86 -34.33 -6.80 0.00 0.87 False(24)
  202 75.34 1544.49 -20.50 -6.79 0.00 0.07 False(24)
  203 75.37 382.55 -5.08 -6.79 5.55 0.93 True(24)
  204 75.41 609.17 -8.08 -5.07 0.05 0.23 False(24)
  205 75.45 614.83 -8.15 -5.07 0.05 0.91 False(24)
  206 75.49 909.08 -12.04 -5.07 0.00 0.13 False(24)
  207 75.52 459.49 -6.08 -5.07 0.36 0.30 True(24)
  208 75.56 3257.67 -43.11 -6.08 0.00 0.12 False(24)
  209 75.60 847.48 -11.21 -6.08 0.01 0.64 False(24)
  210 75.64 729.64 -9.65 -6.07 0.03 0.29 False(24)
  211 75.68 845.09 -11.17 -6.07 0.01 0.44 False(24)
  212 75.71 510.52 -6.74 -6.07 0.51 0.49 True(24)
  213 75.75 612.81 -8.09 -6.74 0.26 0.69 False(24)
  214 75.79 622.07 -8.21 -6.74 0.23 0.92 False(24)
  215 75.83 1313.17 -17.32 -6.73 0.00 0.57 False(24)
  216 75.86 747.68 -9.86 -6.73 0.04 0.48 False(23)
  217 75.90 428.04 -5.64 -6.73 2.96 0.63 True(24)
  218 75.94 714.34 -9.41 -5.64 0.02 0.69 False(24)
  219 75.98 1006.17 -13.24 -5.63 0.00 0.44 False(24)
  220 76.02 1328.28 -17.47 -5.63 0.00 0.77 False(23)
  221 76.05 1173.78 -15.43 -5.63 0.00 0.85 False(23)
  222 76.09 1072.91 -14.10 -5.63 0.00 0.91 False(23)
  223 76.13 1817.98 -23.88 -5.62 0.00 0.40 False(23)
  224 76.17 603.96 -7.93 -5.62 0.10 0.32 False(23)
  225 76.21 1238.32 -16.25 -5.62 0.00 0.90 False(23)
  226 76.24 1692.56 -22.20 -5.61 0.00 0.70 False(23)
  227 76.28 2119.36 -27.78 -5.61 0.00 0.34 False(23)
  228 76.32 2130.67 -27.92 -5.61 0.00 0.34 False(23)
  229 76.36 933.65 -12.23 -5.61 0.00 0.93 False(23)
  230 76.40 616.43 -8.07 -5.60 0.08 0.20 False(22)
  231 76.44 1882.39 -24.63 -5.60 0.00 0.43 False(22)
  232 76.47 823.43 -10.77 -5.60 0.01 0.92 False(22)
  233 76.51 506.67 -6.62 -5.59 0.36 0.58 False(22)
  234 76.55 2357.74 -30.80 -5.59 0.00 0.64 False(22)
  235 76.59 3069.97 -40.08 -5.59 0.00 0.35 False(22)
  236 76.63 1169.65 -15.26 -5.59 0.00 0.32 False(22)
  237 76.66 1655.64 -21.60 -5.58 0.00 0.65 False(22)
  238 76.70 1785.53 -23.28 -5.58 0.00 0.10 False(22)
